gene	Npart
RELA	4
SNORA17B	4
CAD	4
KIAA0586	4
RBM27	4
CDCA4	4
BRCC3	4
USP4	4
MIR630	4
C14orf119	4
AKAP10	4
BBS1	4
TCERG1	4
PDSS1	4
DYNC1H1	4
LINC01637	4
RARS2	4
LRCH3	4
ABCF2-H2BK1	4
MIER2	4
MIR664B	3
GNPTG	3
TRIM24	3
CHIC1	3
TM9SF3	3
RPS6KA3	3
PSMA4	3
SUMO2	3
SCAF11	3
ZAP70	3
ZNF517	3
ILF2	3
EPB41L5	3
TYW1	3
POLH	3
STAT5B	3
SKIC3	3
MYL6B	3
HIRA	3
PTPRA	3
FOXP1	3
ARL9	3
DLG1	3
NBAS	3
MIR6886	3
KPNA6	3
PPM1B	3
IQGAP1	3
GOLGA4-AS1	3
CAPRIN1	3
FAM199X	3
SNORD37	3
MORC3	3
ZBTB45	3
PRPH2	3
FHIT	3
STK26	3
UQCR11	3
ACO2	3
MIR3651	3
RBM5-AS1	3
DENND4C	3
PNRC2	3
ZAR1	3
TNS2	3
ABCA7	3
NUBP2	3
SLC30A9	3
ZC3H13	3
MIR6747	3
SORBS3	3
RAVER1	3
RBM4B	3
MIR6858	3
SRRM2	3
SLC9A3-OT1	3
SMARCC2	3
YTHDF2	3
RASL10B	3
ITGB1BP2	3
RBBP7	3
RHBDL1	3
REL	3
EFTUD2	3
APH1B	3
DNAJB1	3
MAPK1	3
GART	3
ZYG11A	3
MADD-AS1	3
TPM4	3
RPS6	3
GIPC1	3
NUP153-AS1	3
RAF1	3
TOP1MT	3
GDE1	3
NFATC1	3
SLC17A9	3
ATL3	3
CACNB3	3
LNCRNA-IUR	3
SETDB1	3
EPC1	3
UBN2	3
RAD54B	3
NDUFAF3	3
DNASE1L2	3
SPTLC1	3
CELF5	3
TXNDC11	3
CDK5RAP2	3
TBC1D14	3
CBFA2T2	3
ZNF777	3
NOL10	3
CCDC97	3
CNOT6L	3
PPP1R37	3
PHF21A	3
SUGT1	3
ARF3	3
MIR1279	3
HECTD1	3
RSC1A1	3
STRADA	3
CSPP1	3
EPS15L1	3
SGSM3	3
LOC400627	3
MYNN	3
ELP5	3
HSD17B11	3
CHMP1A	3
USP7	3
MSH6	3
PTK2	3
SUPV3L1	3
DCTN4	3
SLC25A39	3
ZNF706	3
LCOR	3
MIR550B1	3
CDK12	3
BSN-DT	3
MIR5706	3
MBTPS1	3
MIR3714	3
IBTK	3
ZNF146	3
IZUMO4	3
SNORA49	3
FARSA-AS1	3
UBR3	3
TP53BP2	3
IP6K2	3
UBE2I	3
ADD3-AS1	3
PRDX4	3
FBLN5	3
NAE1	3
ESF1	3
PROSER2-AS1	3
RAB7A	3
PITPNB	3
SFSWAP	3
IGDCC3	3
KDM3B	3
MOB2	3
PI4KA	3
MED16	3
FBXW11	3
SEPTIN9	3
CPSF2	3
NONO	3
SIRT3	3
RNU4ATAC	3
PARP1	3
SLC25A33	3
COLGALT1	3
PACS2	3
SNUPN	3
ZNF79	3
DGKE	3
SLC22A13	3
CASC2	3
NCLN	3
TUBGCP3	3
MIR6877	3
MIR4742	3
ZBTB40	3
EIF3J-DT	3
SEC11A	3
CCDC137	3
HEATR5B	3
UBE2D2	3
YDJC	3
CS	3
DICER1	3
MYH9	3
CHAF1A	3
NPAS1	3
TPRN	3
MTIF2	3
SCX	3
UBE2L3	3
BMAL2	3
CDC42BPG	3
LINC00641	3
TTC19	3
SDCBP	3
HAT1	3
HYKK	3
PPP3CB-AS1	3
MIR4762	3
ERP44	3
BRAT1	3
SQLE	3
PI4KB	3
FHIP2B	3
RTEL1	3
CEP135	3
ZNF148	3
DEPDC5	3
TMED4	3
TWSG1	3
GPR111|PGR20|hGPCR35	3
NDUFV3	3
PILRB	3
ATOSA	3
BSG	3
HUS1B	3
LOC100131496	3
CCSAP	3
DGCR11	3
AGPAT3	3
ARFGAP1	3
SH2D3A	3
NUP85	3
COX5A	3
MIR6798	3
NOP14	3
XIAP	3
RAB8B	3
PCCB	3
MLXIP	3
POLR1C	3
CCDC154	3
C8orf82	3
TMEM249	3
PXN	3
HP1BP3	3
CAPZA1	3
PEX10	3
TAF5L	3
TRAPPC9	3
TRIP11	3
PRRC2C	3
GGA1	3
PPP1R16A	3
COQ10A	3
NDUFV2-AS1	3
ZSCAN21	3
ZNF672	3
GPX1	3
CARD9	3
SP3	3
RNPEPL1	3
PLEKHF2	3
SEC23IP	3
SUFU	3
NFYC	3
PFAS	3
NCOR1	3
CELF1	3
MIR761	3
CNOT4	3
SNX6	3
PTP4A2	3
MBNL1	3
EHD2	3
CPNE1	3
AP5Z1	3
TAF1	3
MIR3187	3
INTS8	3
VPS45	3
CRACR2B	3
DNAJC7	3
NOC3L	3
SNX24	3
LOC100506606	3
PPP1R15B	3
CDR2	3
TCF3	3
RAD54L2	3
BAZ1A-AS1	3
VIL1	3
CDC6	3
LINC00304	3
ATP13A3	3
ATM	3
NF2	3
SNORA19	3
PPP4R1	3
RAB10	3
PFKM	3
TNIP2	3
LINC01964	3
ITSN2	3
GABARAP	3
GRIN1	3
ZDHHC20	3
RRM1	3
WDR82	3
ZEB1	3
GRINA	3
SNORA36A	3
SPHK2	3
PHF8	3
INO80	3
TGS1	3
CWC22	3
TEX264	3
MIR124-3	3
CCDC88C	3
ABHD2	3
WAPL	3
TTC3-AS1	3
BMP8A	3
HDAC1	3
CTC1	3
MICOS10-NBL1	3
DERL2	3
TRIP10	3
DIS3L	3
MAD1L1	3
SEMA4G	3
FTL	3
FARSB	3
SEC24A	3
SLC25A20	3
DCTN1	3
GOLPH3	3
MTX2	3
MTF1	3
SNORA52	3
PTGES3	3
TMEM141	3
GAL	3
SLC4A1AP	3
IP6K1	3
CBX3	3
MIR340	3
SAMHD1	3
SIPA1L1	3
PSMD1	3
FAM234A	3
TANGO6	3
EIF4ENIF1	3
WDR4	3
ITFG1	3
ARHGEF12	3
TTC36	3
CTC-338M12.4	3
RNF216	3
ORC4	3
SLC22A20P	3
EPG5	3
WRAP53	3
QKI	3
MIR558	3
MIR4779	3
ZNF473	3
C3orf70	3
ZNF200	3
CDK13	3
CCNDBP1	3
DIP2A	3
ARF1	3
PTPN9	3
NACC2	3
SRBD1	3
SLMAP	3
CRIP2	3
U2SURP	3
GPR3	3
MAMDC4	3
FERRY3	3
PARP8	3
DROSHA	3
RSRC2	3
ITPKC	3
WHAMM	3
TBL1XR1	3
C19orf47	3
PAPOLA	3
UBE2K	3
ZNF410	3
MIR548K	3
BAZ2A	3
LOC101927839	3
XRN1	3
SATB1	3
ADSS2	3
GTF2B	3
KIF20A	3
PIK3C3	3
ZL1	3
LDLR	3
GARNL3	3
ADAR	3
PIAS4	3
TMCO1	3
CDKL1	3
SNORA70D	3
ELP3	3
AFF1	3
ZNF254	3
WDR18	3
DCAF10	3
SYNE1	3
MKRN2OS	3
IL6ST	3
TTC7B	3
TUT4	3
SPG21	3
ANAPC4	3
CTNNB1	3
DENND6A	3
ZBTB47	3
RPS15	3
EXOSC10-AS1	3
VPS33A	3
CALU	3
NCOA2	3
MIR4489	3
ROMO1	3
PAAF1	3
B4GALT5	3
PREPL	3
MIR4766	3
DGAT1	3
ATF7	3
PYGM	3
ZRANB1	3
HNRNPH1	3
CFAP251	3
PARVB	3
SELENOF	3
COX14	3
MIR6802	3
DDX1	3
AGO3	3
SNORA23	3
ATF6	3
TMEM80	3
MAP4K4	3
UBA52	3
PEX14	3
RAC1	3
ATF7IP	3
OGA	3
RBM14	3
ZNF805	3
VIRMA	3
ST6GAL1	3
BICRA	3
CWF19L2	3
AGL	3
MIR1226	3
MARVELD3	3
AGFG1	3
HOOK3	3
ATAD1	3
TIAL1	3
MIR4647	3
ANXA2	3
TMEM165	3
MIR199A1	3
CDC14A	3
MAP2K2	3
CASC3	3
BTRC	3
GPX4	3
ZFAND6	3
MED26	3
UQCRC1	3
PKN1	3
DNAJB7	3
POLL	3
APBA3	3
STK24	3
FCHSD2	3
NCKIPSD	3
SNORA17A	3
MIR627	3
MATR3	3
DHX29	3
LTBP3	3
KCNMB4	3
STIMATE-MUSTN1	3
PTRH2	3
NCAPH2	3
PROX2	3
RNF10	3
TEP1	3
CDC25B	3
TAOK2	3
ZFP69	3
RPL13	3
CALCOCO2	3
TENT2	3
NOC4L	3
STAT2	3
MIR5009	3
DCAF5	3
C2CD5	3
ST7L	3
RER1	3
METTL14	3
MCM3AP-AS1	3
SMURF2	3
CNOT10	3
MIR1234	3
RGMA	3
LRBA	3
EIF3J	3
MTOR	3
RAB11A	3
TMCO2	3
CHST12	3
GYS1	3
CLDN15	3
EPPK1	3
TMEM87A	3
NR6A1	3
CUL3	3
LHX3	3
DLG2	3
SPATA33	3
MIR6861	3
ODF2	3
NAA25	3
KIFC2	3
GPAA1	3
FRA10AC1	3
SPAG9	3
FBXL6	3
CEPT1	3
PARP10	3
ATP11B	3
VPS39	3
COL23A1	3
MED14	3
OPA1-AS1	3
SRRM1	3
TPP2	3
KMT2C	3
RAB40C	3
PRRC2B	3
TNRC6C	3
KCTD6	3
PLEKHG4B	3
TTBK2	3
APEH	3
LMAN2	3
EMILIN2	3
APP	3
RSPRY1	3
MVP	3
ESRRA	3
TUT7	3
PFKL	3
CTR9	3
FOXH1	3
HMGN2	3
IPO4	3
MIR6894	3
ATP5F1E	3
REPS1	3
DCP2	3
SNORA2A	3
RNF8	3
PHACTR4	3
LIMA1	3
NDUFC1	3
SLC30A5	3
TOB2	3
FBXO9	3
LXN	3
UBAC1	3
PDXK	3
CPSF1	3
USP15	3
VEZT	3
MORF4L1	3
IL13RA1	3
MIR640	3
NAA35	3
ANAPC7	3
ADGRL1-AS1	3
REV1	3
PPA1	3
OBSCN-AS1	3
ACTR6	3
MKNK2	3
DIP2B	3
MED25	3
EIF3L	3
KCNK7	3
DGUOK	3
FBXL5	3
PPP2R1B	3
IGFALS	3
SNORA24B	3
CDC42BPA	3
FGF22	3
TARBP1	3
PSME4	3
SUMO1	3
CUL4B	3
MRPL14	3
MIR6501	2
ZNF26	2
SWI5	2
PLXNA3	2
PRPF40B	2
COX7A2L	2
MALAT1	2
MAP3K11	2
UTP20	2
MIR562	2
HUWE1	2
MAP7D3	2
TUBA1C	2
TLE3	2
IFITM1	2
ELP6	2
PDK3	2
NPEPPS	2
MSTO2	2
YLPM1	2
GRIN3B	2
THOC2	2
HACD3	2
ZNF767P	2
LOC102724159	2
DIMT1	2
AGAP2-AS1	2
ATP5PD	2
HMG20A	2
MTREX	2
ZNF724	2
LMTK2	2
CCDC43	2
LMF1-AS1	2
CYB5B	2
CELF6	2
GADD45B	2
WDR19	2
ARIH1	2
RTRAF	2
RASGRP2	2
VPS29	2
PDE7A	2
TMEM131L	2
UHMK1	2
LRSAM1	2
SMC3	2
EPHB3	2
UBLCP1	2
DCLK2	2
ABCA3	2
PSMC4	2
ZFYVE26	2
BRICD5	2
AMN	2
RTKN2	2
QTRT2	2
CNIH4	2
HELQ	2
TOP1	2
ANP32E	2
ZNF718	2
PTBP2	2
RYK	2
MCRIP2	2
RUNX1	2
TRMT1L	2
PHTF1	2
MIR222	2
GUCA2A	2
BST2	2
UBE2V2	2
DIAPH3-AS1	2
COPS7A	2
MIR3134	2
PSMF1	2
EGLN1	2
IQCG	2
PSMC2	2
NME2	2
MRPL47	2
PHF2	2
CNOT9	2
HSD17B4	2
FBF1	2
INTS13	2
USP3	2
RIMKLB	2
APTR	2
ZNF432	2
GFPT1	2
LRTM2	2
SLC35E1	2
PTPN11	2
PRMT3	2
MIR5739	2
TBC1D16	2
GCNA	2
MRPL20	2
DIPK1B	2
TBC1D9B	2
RECQL4	2
TOP6BL	2
DUS1L	2
UBP1	2
NUCB1	2
RBM19	2
SLA2	2
KAT8	2
NDUFS4	2
DENND4A	2
ANP32A	2
OSBPL3	2
PITPNA	2
MIR6807	2
THAP4	2
CFAP144P1	2
DNHD1	2
CHKA	2
GATAD2A	2
APRG1	2
RBM25	2
MIR331	2
ZNF616	2
PDS5B	2
KLF12	2
PLP2	2
GAS8	2
RPL13A	2
NMD3	2
BRD3OS	2
HAPSTR1	2
SEC61A1	2
SNX17	2
TCAIM	2
RPN1	2
MRPL48	2
UBE3A	2
KPNB1	2
TNFRSF11A	2
BAMBI	2
RABGEF1P1	2
LAGE3	2
MIR8075	2
TNFRSF4	2
SMG1P7	2
BAZ1B	2
CUL7	2
CDC34	2
MIR6511B2	2
SDAD1P1	2
KYAT1	2
FBXL16	2
QTRT1	2
AGO4	2
ESCO1	2
DENND1B	2
SRP54	2
MIRLET7F2	2
CCSER2	2
SMIM18	2
ACOT9	2
PPFIA1	2
NCAPG2	2
MIR4312	2
SMARCAD1	2
TMEM209	2
ICAM4	2
SMG1	2
SPCS2	2
CIMAP1B	2
C17orf99	2
CHD1-DT	2
OGDHL	2
GFUS	2
PCBP3	2
XRN2	2
NDEL1	2
FZR1	2
NASP	2
VKORC1L1	2
KCNH3	2
ZBTB3	2
LY9	2
RAB3A	2
CEBPZOS	2
CPT1B	2
CYP20A1	2
MAP1S	2
NMT2	2
FAM76B	2
DENR	2
TMBIM7P	2
AGK	2
CEP85	2
NUP35	2
CMC4	2
VHL	2
ITM2A	2
SNAP29	2
UGGT1	2
DVL3	2
GLS	2
TSG101	2
SUPT16H	2
CCDC17	2
TREX1	2
NUDT16L1	2
STON1-GTF2A1L	2
ZXDC	2
RALGAPA2	2
ENSA	2
ZNF106	2
ZNF234	2
MIR4466	2
CCNG1	2
ASTE1	2
PRIM1	2
FOXO3	2
U2AF2	2
ATAD2B	2
LINC02508	2
DUSP16	2
RGMB	2
LRPAP1	2
FLACC1	2
PTPN2	2
GNPDA2	2
NGLY1	2
ATP6AP1	2
LPGAT1-AS1	2
LINC00324	2
RAPGEF1	2
ARHGAP15	2
COG5	2
PAWR	2
HCN2	2
MIR7106	2
MSMP	2
MIR6516	2
RRP36	2
PRKAR2A	2
TKT	2
B4GALNT3	2
EXT1	2
SH3GLB2	2
DNAJC8	2
SEC23A-AS1	2
SUV39H2	2
PSMD4	2
KCNIP2	2
CD59	2
TMEM262	2
SPDYA	2
DNASE2	2
ZMPSTE24	2
C8G	2
HASPIN	2
CANX	2
MIR2110	2
ITPKB	2
AP3M1	2
RETREG3	2
ZBED6	2
KIAA0319	2
XPO1	2
MFSD8	2
STAU1	2
FBXO38	2
CLCN6	2
TRMT112	2
CNOT11	2
BCL2	2
RORA-AS1	2
MPG	2
MIR1914	2
CASD1	2
PRKAR1A	2
RBM26	2
ACAT2	2
SNORD66	2
ECT2L	2
MIR33A	2
LOC105370705	2
PPP2CA	2
CAPN10	2
CCDC9	2
SNORD96B	2
ARPC2	2
VCPKMT	2
GPR75-ASB3	2
TGFBR3L	2
COX6C	2
WFIKKN1	2
HNRNPLL	2
TNK2	2
SSH3	2
CAPZA2	2
SOAT1	2
EFR3A	2
ATP6V1D	2
DNER	2
MIR548AY	2
DR1	2
SERINC3	2
KLHL11	2
